sim,min_dist,avg_dist,overlap_amount
188,0.213713,0.619054,0.013887
189,0.214373,0.620659,0.013227
190,0.204781,0.609468,0.022819
191,0.208410,0.621913,0.019190
192,0.210846,0.617765,0.016754
193,0.213228,0.619035,0.014372
194,0.205707,0.614325,0.021893
195,0.208467,0.618364,0.019133
196,0.210150,0.615304,0.017450
197,0.211797,0.618390,0.015803
198,0.206904,0.621082,0.020696
199,0.212528,0.616462,0.015072
200,0.207368,0.616093,0.020232
201,0.211539,0.618466,0.016061
202,0.215193,0.618593,0.012407
203,0.211708,0.620016,0.015892
204,0.208020,0.618606,0.019580
205,0.208374,0.619192,0.019226
206,0.200666,0.619232,0.026934
207,0.209716,0.618934,0.017884
208,0.208330,0.618213,0.019270
209,0.214422,0.614946,0.013178
210,0.210172,0.617805,0.017428
211,0.213111,0.621847,0.014489
212,0.190136,0.619807,0.037464
213,0.212621,0.619272,0.014979
214,0.209519,0.613746,0.018081
215,0.204344,0.616308,0.023256
216,0.210608,0.619658,0.016992
217,0.209073,0.617368,0.018527
218,0.208727,0.617597,0.018873
219,0.200202,0.614592,0.027398
220,0.199149,0.622121,0.028451
221,0.205962,0.614417,0.021638
222,0.205829,0.615659,0.021771
223,0.213106,0.618846,0.014494
224,0.210741,0.617973,0.016859
225,0.214760,0.620272,0.012840
226,0.208944,0.619297,0.018656
227,0.212124,0.611768,0.015476
228,0.207389,0.620037,0.020211
229,0.211207,0.618335,0.016393
230,0.210804,0.618692,0.016796
231,0.214174,0.617082,0.013426
232,0.209453,0.617633,0.018147
233,0.213273,0.616118,0.014327
234,0.206157,0.616839,0.021443
235,0.203270,0.616574,0.024330
236,0.204202,0.623182,0.023398
237,0.207119,0.619433,0.020481
238,0.214910,0.616616,0.012690
239,0.212101,0.619304,0.015499
240,0.212023,0.622626,0.015577
241,0.209827,0.612282,0.017773
242,0.204899,0.622348,0.022701
243,0.205874,0.621229,0.021726
244,0.211603,0.618876,0.015997
245,0.214094,0.619252,0.013506
246,0.203152,0.612390,0.024448
247,0.204303,0.620659,0.023297
248,0.206492,0.616359,0.021108
249,0.204543,0.619911,0.023057
250,0.215488,0.618832,0.012112
251,0.213102,0.616577,0.014498
252,0.211825,0.620436,0.015775
253,0.210285,0.617345,0.017315
254,0.209808,0.616644,0.017792
255,0.208179,0.618570,0.019421
256,0.208579,0.612147,0.019021
257,0.208828,0.615606,0.018772
258,0.215217,0.619018,0.012383
259,0.211238,0.620866,0.016362
260,0.211207,0.622132,0.016393
261,0.214165,0.622863,0.013435
262,0.214624,0.622732,0.012976
263,0.207821,0.616558,0.019779
264,0.209126,0.617173,0.018474
265,0.207627,0.621566,0.019973
266,0.203192,0.622340,0.024408
