num_spheres=89,sphere_radius=0.1138,best_known_diameter=0.22753939547,num_samples=1000,dt=0.03,max_iter=2500,tol=1e-09,boundary_mode=stophit
################################################################################
sample_index,min_distance,avg_distance,excess
182,0.209327,0.623900,0.018212
183,0.213444,0.622338,0.014096
184,0.210308,0.619567,0.017231
185,0.213156,0.617881,0.014383
186,0.204704,0.621080,0.022835
187,0.206363,0.620467,0.021177
188,0.209595,0.620739,0.017945
189,0.211301,0.622129,0.016238
190,0.207940,0.621066,0.019599
191,0.212704,0.620315,0.014836
192,0.204508,0.623324,0.023031
193,0.213158,0.624113,0.014381
194,0.212333,0.619545,0.015206
195,0.208690,0.620198,0.018850
196,0.212077,0.620381,0.015463
197,0.208074,0.621643,0.019466
198,0.209691,0.620491,0.017849
199,0.209203,0.622457,0.018337
200,0.212162,0.623154,0.015378
201,0.207209,0.623498,0.020330
202,0.207048,0.619476,0.020491
203,0.209438,0.625228,0.018101
204,0.214037,0.619019,0.013503
205,0.213531,0.623987,0.014008
206,0.216524,0.617852,0.011015
207,0.192829,0.628221,0.034710
208,0.208904,0.624206,0.018635
209,0.215706,0.618551,0.011833
210,0.206294,0.622419,0.021246
211,0.208760,0.620408,0.018779
212,0.212678,0.621252,0.014861
213,0.206371,0.623368,0.021169
214,0.213666,0.620113,0.013874
215,0.211292,0.621512,0.016247
216,0.210621,0.616582,0.016919
217,0.214815,0.620740,0.012724
218,0.209344,0.622540,0.018195
219,0.214395,0.617818,0.013144
220,0.214350,0.620086,0.013190
221,0.212985,0.615773,0.014554
222,0.208602,0.620865,0.018938
223,0.208329,0.617798,0.019210
224,0.215032,0.621281,0.012507
225,0.211635,0.623220,0.015904
226,0.210056,0.620848,0.017483
227,0.208544,0.619321,0.018996
228,0.211617,0.615308,0.015922
229,0.215055,0.622297,0.012484
230,0.211707,0.616893,0.015832
231,0.214318,0.619277,0.013221
232,0.211466,0.622054,0.016073
233,0.204974,0.619842,0.022566
234,0.211128,0.616704,0.016412
235,0.209837,0.620024,0.017702
236,0.214245,0.620032,0.013295
237,0.211799,0.623924,0.015740
238,0.210950,0.618542,0.016590
239,0.191189,0.622237,0.036351
240,0.205513,0.615196,0.022026
241,0.213604,0.616797,0.013935
242,0.207325,0.621754,0.020214
243,0.213076,0.620339,0.014463
244,0.208230,0.618373,0.019310
245,0.206895,0.620810,0.020645
246,0.208533,0.615678,0.019006
247,0.215895,0.619696,0.011645
248,0.207724,0.617573,0.019815
249,0.209881,0.621825,0.017658
250,0.211560,0.622434,0.015979
251,0.215345,0.623701,0.012194
252,0.211419,0.624190,0.016121
253,0.213183,0.617441,0.014356
254,0.205627,0.619299,0.021912
255,0.209725,0.618444,0.017815
256,0.209670,0.617460,0.017869
257,0.206657,0.620560,0.020882
258,0.207902,0.618358,0.019637
259,0.208756,0.623881,0.018783
260,0.208723,0.617514,0.018817
261,0.206207,0.623180,0.021333
262,0.213649,0.624262,0.013890
263,0.206813,0.618096,0.020726
264,0.209992,0.620902,0.017547
265,0.205745,0.617926,0.021794
266,0.210268,0.620254,0.017272
267,0.211692,0.621999,0.015848
268,0.209523,0.616562,0.018017
269,0.214291,0.624196,0.013248
270,0.210752,0.625377,0.016788
271,0.210499,0.622373,0.017040
272,0.213070,0.624992,0.014470
273,0.215223,0.622774,0.012317
274,0.210996,0.618424,0.016544
275,0.203865,0.621879,0.023674
276,0.215793,0.623136,0.011746
277,0.209415,0.619431,0.018125
278,0.214610,0.620249,0.012929
279,0.215202,0.623177,0.012337
280,0.211223,0.622570,0.016316
281,0.206772,0.624799,0.020767
282,0.212934,0.616282,0.014606
283,0.213272,0.619875,0.014267
284,0.207624,0.619873,0.019915
285,0.208101,0.622415,0.019439
286,0.210711,0.623745,0.016828
287,0.208034,0.622069,0.019505
288,0.209877,0.618177,0.017662
289,0.209445,0.616453,0.018094
290,0.208616,0.619226,0.018924
291,0.212144,0.619860,0.015395
292,0.206102,0.622838,0.021437
293,0.209628,0.615767,0.017912
294,0.210216,0.617436,0.017324
295,0.209840,0.621884,0.017700
296,0.215594,0.626125,0.011945
297,0.212820,0.619570,0.014720
298,0.207980,0.621831,0.019559
299,0.211266,0.619827,0.016273
300,0.208504,0.620109,0.019036
301,0.212057,0.620273,0.015482
302,0.211264,0.619247,0.016275
303,0.213278,0.626429,0.014261
304,0.211266,0.616207,0.016274
305,0.211908,0.623937,0.015631
306,0.210874,0.625014,0.016665
307,0.210867,0.619242,0.016672
308,0.211450,0.619321,0.016090
309,0.211984,0.617510,0.015556
310,0.211349,0.620526,0.016190
311,0.203998,0.621408,0.023541
312,0.208296,0.619108,0.019244
313,0.207998,0.622615,0.019541
314,0.214608,0.625414,0.012931
315,0.210863,0.624141,0.016677
316,0.211439,0.619788,0.016101
317,0.212637,0.624294,0.014902
318,0.208130,0.620314,0.019409
319,0.212861,0.621446,0.014678
320,0.209189,0.621416,0.018350
321,0.211244,0.616129,0.016295
322,0.213739,0.621975,0.013800
323,0.207231,0.619867,0.020309
324,0.211565,0.620970,0.015974
325,0.207496,0.614244,0.020044
326,0.214338,0.623614,0.013201
327,0.200052,0.625766,0.027488
328,0.209963,0.621949,0.017576
329,0.205458,0.619191,0.022082
330,0.206319,0.620821,0.021221
331,0.209296,0.621095,0.018244
332,0.207530,0.620832,0.020009
333,0.210141,0.624174,0.017398
334,0.214102,0.619173,0.013437
335,0.209551,0.621941,0.017988
336,0.213503,0.623871,0.014037
337,0.206855,0.619461,0.020685
338,0.206295,0.622492,0.021244
339,0.212993,0.620183,0.014547
340,0.210627,0.618283,0.016912
341,0.209826,0.614465,0.017713
342,0.210330,0.621267,0.017209
343,0.209228,0.621886,0.018311
344,0.215628,0.619438,0.011911
345,0.214819,0.617087,0.012720
346,0.210698,0.626275,0.016841
347,0.210861,0.620774,0.016679
348,0.211899,0.617652,0.015640
349,0.214391,0.620525,0.013148
350,0.210399,0.615087,0.017140
351,0.213744,0.621617,0.013796
352,0.208162,0.621488,0.019378
353,0.210357,0.621290,0.017182
354,0.207560,0.620684,0.019980
355,0.212955,0.622757,0.014585
356,0.212988,0.622719,0.014552
357,0.214816,0.622544,0.012724
358,0.216352,0.621604,0.011188
359,0.207882,0.621551,0.019658
360,0.209169,0.619699,0.018371
361,0.212567,0.618799,0.014972
362,0.213531,0.622162,0.014009
363,0.212214,0.618104,0.015325
364,0.212107,0.618631,0.015432
365,0.214090,0.619577,0.013450
366,0.210058,0.617400,0.017482
367,0.209777,0.619915,0.017763
368,0.212368,0.619798,0.015171
369,0.213181,0.616096,0.014359
370,0.201917,0.625033,0.025622
371,0.208618,0.620147,0.018922
372,0.209960,0.620398,0.017580
373,0.214360,0.620900,0.013179
374,0.210716,0.623747,0.016824
375,0.213389,0.620199,0.014151
376,0.208370,0.624716,0.019169
377,0.211390,0.619384,0.016150
378,0.211990,0.625535,0.015549
379,0.212519,0.619957,0.015020
380,0.213810,0.618023,0.013730
381,0.207798,0.624091,0.019741
382,0.210187,0.622134,0.017352
383,0.217052,0.619319,0.010488
384,0.216234,0.620270,0.011306
385,0.212566,0.622478,0.014973
386,0.216446,0.621025,0.011093
387,0.215555,0.624640,0.011984
388,0.212695,0.628550,0.014845
389,0.213990,0.622563,0.013549
390,0.210460,0.619123,0.017079
391,0.214247,0.622084,0.013293
392,0.207806,0.617401,0.019734
393,0.205731,0.620376,0.021809
394,0.211746,0.617250,0.015794
395,0.211262,0.618928,0.016278
396,0.206360,0.615981,0.021179
397,0.215775,0.621215,0.011765
398,0.211442,0.621660,0.016097
399,0.214782,0.622511,0.012757
400,0.209352,0.621609,0.018187
401,0.210653,0.622910,0.016887
402,0.210576,0.620469,0.016964
403,0.208235,0.620574,0.019304
404,0.208460,0.620162,0.019080
405,0.210132,0.617261,0.017407
406,0.211379,0.621947,0.016160
407,0.207970,0.623974,0.019570
408,0.211428,0.620614,0.016111
409,0.208574,0.621612,0.018966
410,0.209238,0.619621,0.018301
411,0.208677,0.624914,0.018862
412,0.210233,0.618242,0.017307
413,0.212303,0.619168,0.015236
414,0.199346,0.620871,0.028194
415,0.211850,0.616114,0.015689
416,0.210534,0.623379,0.017006
417,0.211767,0.620934,0.015772
418,0.209685,0.619441,0.017854
419,0.213843,0.622751,0.013696
420,0.211268,0.620087,0.016271
421,0.213216,0.622552,0.014323
422,0.214892,0.621302,0.012647
423,0.214365,0.617533,0.013174
424,0.205328,0.620419,0.022211
425,0.210693,0.620633,0.016847
426,0.211768,0.620824,0.015772
427,0.210054,0.616561,0.017485
428,0.208071,0.624936,0.019469
429,0.200665,0.621672,0.026875
430,0.210816,0.622401,0.016723
431,0.210572,0.620938,0.016967
432,0.207005,0.621528,0.020534
433,0.210530,0.620269,0.017009
434,0.210308,0.625091,0.017231
435,0.213043,0.622578,0.014497
436,0.211288,0.621099,0.016252
437,0.211839,0.623195,0.015700
438,0.214084,0.619828,0.013455
439,0.206676,0.620918,0.020864
440,0.211029,0.622469,0.016511
441,0.210662,0.617426,0.016877
442,0.209171,0.617505,0.018369
443,0.205921,0.619569,0.021618
444,0.208995,0.619232,0.018545
445,0.210234,0.620258,0.017306
446,0.213048,0.621781,0.014492
447,0.209106,0.619182,0.018433
448,0.209903,0.620900,0.017637
449,0.211827,0.623935,0.015713
450,0.215744,0.620953,0.011796
451,0.215362,0.625045,0.012178
452,0.210861,0.617168,0.016678
453,0.206995,0.616061,0.020544
454,0.210449,0.621079,0.017090
455,0.211772,0.618468,0.015767
456,0.207897,0.621672,0.019643
457,0.208790,0.618676,0.018750
458,0.208633,0.622600,0.018907
459,0.216328,0.626034,0.011211
460,0.207552,0.616043,0.019987
461,0.210594,0.615881,0.016946
462,0.208414,0.623509,0.019125
463,0.213310,0.622912,0.014229
464,0.199758,0.621412,0.027781
465,0.211862,0.620850,0.015677
466,0.212193,0.616424,0.015347
467,0.209083,0.622791,0.018456
468,0.210243,0.618739,0.017297
469,0.212512,0.616902,0.015028
470,0.209555,0.619398,0.017985
471,0.209091,0.616809,0.018448
472,0.211971,0.621654,0.015568
473,0.213484,0.619331,0.014056
474,0.213955,0.616562,0.013585
475,0.203274,0.625103,0.024265
476,0.213176,0.618603,0.014363
477,0.214917,0.625442,0.012622
478,0.208913,0.624389,0.018627
479,0.214788,0.622357,0.012751
480,0.211889,0.618617,0.015650
481,0.192252,0.621049,0.035288
482,0.211481,0.622295,0.016059
483,0.210810,0.622119,0.016730
484,0.216190,0.618043,0.011350
485,0.204050,0.619545,0.023489
486,0.212222,0.622446,0.015317
487,0.208556,0.620998,0.018984
488,0.214064,0.621718,0.013476
489,0.208815,0.621590,0.018724
490,0.207579,0.619823,0.019960
491,0.199221,0.621112,0.028319
492,0.213455,0.619028,0.014084
493,0.206823,0.619805,0.020716
494,0.209381,0.620437,0.018159
495,0.215610,0.622054,0.011930
496,0.213166,0.622875,0.014374
497,0.211223,0.620296,0.016316
498,0.208828,0.617516,0.018711
499,0.213211,0.622272,0.014328
500,0.214104,0.621030,0.013435
501,0.213405,0.616295,0.014135
502,0.211328,0.620422,0.016211
503,0.209389,0.622718,0.018150
504,0.213026,0.621274,0.014513
505,0.209969,0.618714,0.017571
506,0.209339,0.620782,0.018200
507,0.214898,0.621607,0.012642
508,0.216123,0.618506,0.011416
509,0.206596,0.617118,0.020943
510,0.208079,0.620043,0.019460
511,0.206481,0.618117,0.021059
512,0.207914,0.623929,0.019625
513,0.208243,0.618996,0.019297
514,0.212062,0.618691,0.015477
515,0.210297,0.619308,0.017242
516,0.210428,0.624235,0.017111
517,0.210625,0.620110,0.016915
518,0.208948,0.619310,0.018591
519,0.206874,0.616287,0.020665
520,0.212184,0.624136,0.015356
521,0.212112,0.621063,0.015427
522,0.212443,0.619260,0.015097
523,0.211801,0.620629,0.015739
524,0.204729,0.618116,0.022810
525,0.211019,0.620140,0.016520
526,0.216041,0.620840,0.011498
527,0.211635,0.620072,0.015904
528,0.209327,0.625079,0.018213
529,0.208656,0.621549,0.018883
530,0.215036,0.621608,0.012503
531,0.211692,0.618186,0.015847
532,0.215713,0.621312,0.011826
533,0.214135,0.618635,0.013405
534,0.214393,0.618615,0.013147
535,0.204847,0.626179,0.022693
536,0.208313,0.621539,0.019226
537,0.213970,0.622258,0.013569
538,0.214332,0.620705,0.013208
539,0.211037,0.621896,0.016502
540,0.210771,0.621353,0.016769
541,0.213489,0.621046,0.014050
542,0.213730,0.621178,0.013809
543,0.214625,0.622053,0.012914
544,0.213972,0.620908,0.013567
545,0.211491,0.620253,0.016048
546,0.201519,0.621804,0.026020
547,0.214612,0.618246,0.012928
548,0.211272,0.626295,0.016268
549,0.209628,0.623479,0.017912
550,0.211394,0.621959,0.016146
551,0.208003,0.616729,0.019536
552,0.208917,0.617966,0.018622
553,0.210803,0.620260,0.016737
554,0.210338,0.619612,0.017202
555,0.208028,0.621728,0.019511
556,0.204676,0.624120,0.022864
557,0.211858,0.619467,0.015682
558,0.206853,0.613003,0.020686
559,0.208948,0.622306,0.018592
560,0.210550,0.617764,0.016990
561,0.210081,0.617994,0.017458
562,0.208597,0.617948,0.018942
563,0.207058,0.613638,0.020482
564,0.211726,0.623338,0.015814
565,0.210574,0.625694,0.016966
566,0.203937,0.621219,0.023602
567,0.207563,0.626312,0.019977
568,0.212924,0.617490,0.014615
569,0.217697,0.625291,0.009843
570,0.212844,0.616124,0.014695
571,0.210945,0.618663,0.016594
572,0.212107,0.623926,0.015433
573,0.199776,0.618293,0.027763
574,0.214086,0.621115,0.013454
575,0.216813,0.618475,0.010726
576,0.207333,0.621065,0.020207
577,0.208315,0.616069,0.019225
578,0.208821,0.616984,0.018718
579,0.212423,0.620489,0.015116
580,0.214341,0.624921,0.013199
581,0.207960,0.624578,0.019580
582,0.208430,0.621383,0.019109
583,0.210087,0.620140,0.017452
584,0.210031,0.617705,0.017509
585,0.211492,0.618757,0.016048
586,0.209612,0.618294,0.017927
587,0.216132,0.617747,0.011407
588,0.208986,0.618401,0.018553
589,0.209844,0.621227,0.017696
590,0.206927,0.623610,0.020613
591,0.215405,0.624581,0.012135
592,0.212526,0.618830,0.015013
593,0.212640,0.620367,0.014899
594,0.212602,0.622823,0.014937
595,0.212291,0.622727,0.015249
596,0.213494,0.619734,0.014046
597,0.207530,0.612092,0.020009
598,0.209679,0.620454,0.017860
599,0.213513,0.617254,0.014027
600,0.217125,0.618374,0.010415
601,0.206280,0.621474,0.021259
602,0.207580,0.620325,0.019959
603,0.209580,0.624713,0.017960
604,0.207137,0.623845,0.020402
605,0.209632,0.617991,0.017908
606,0.211538,0.616097,0.016001
607,0.213186,0.624874,0.014354
608,0.212298,0.620499,0.015241
609,0.209611,0.619229,0.017928
610,0.208865,0.622004,0.018674
611,0.215595,0.622619,0.011944
612,0.212207,0.615670,0.015332
613,0.212321,0.622135,0.015218
614,0.214882,0.620476,0.012657
615,0.208844,0.623394,0.018695
616,0.205251,0.620070,0.022289
617,0.212341,0.620778,0.015199
618,0.206504,0.621298,0.021035
619,0.216170,0.624296,0.011370
620,0.209296,0.621483,0.018243
621,0.209306,0.617269,0.018234
622,0.212211,0.617829,0.015328
623,0.208924,0.617173,0.018615
624,0.207630,0.614961,0.019909
625,0.206741,0.623103,0.020799
626,0.213481,0.621332,0.014058
627,0.209126,0.620508,0.018413
628,0.209725,0.620431,0.017814
629,0.209364,0.616195,0.018175
630,0.211687,0.619626,0.015853
631,0.208894,0.620562,0.018645
632,0.210536,0.624547,0.017003
633,0.204786,0.615461,0.022754
634,0.212861,0.619284,0.014678
635,0.201866,0.626000,0.025673
636,0.208360,0.621660,0.019180
637,0.215811,0.624946,0.011729
638,0.212147,0.618165,0.015393
639,0.213535,0.620397,0.014004
640,0.210640,0.622426,0.016899
641,0.213375,0.625533,0.014165
642,0.212032,0.621850,0.015507
643,0.208789,0.619023,0.018751
644,0.207984,0.622735,0.019555
645,0.207922,0.625284,0.019618
646,0.213134,0.623018,0.014405
647,0.214862,0.622413,0.012677
648,0.211623,0.621678,0.015916
649,0.209481,0.618953,0.018059
650,0.211509,0.618577,0.016031
651,0.212424,0.622637,0.015115
652,0.210467,0.621098,0.017072
653,0.202707,0.620310,0.024833
654,0.211084,0.621853,0.016456
655,0.214648,0.622199,0.012891
656,0.206217,0.622703,0.021323
657,0.209834,0.624123,0.017706
658,0.209112,0.618795,0.018428
659,0.213060,0.622943,0.014479
660,0.213224,0.619752,0.014315
661,0.211945,0.619196,0.015594
662,0.214253,0.622155,0.013286
663,0.207297,0.620073,0.020242
664,0.214407,0.621012,0.013132
